start,end,speaker,text
00:08:49.770,00:11:26.830,spk_3,"order under Subsection 3 may in particular provide for the admissibility of statements which are made orally or in the prescribed form, or which records recorded by a prescribed method of recording, (b) may make different provision for different purposes in relation to different descriptions of court and see is less directly relevant to these submissions. On the face of the Subsection, it was specifically envisaged that recorded material might be deployed in family proceedings, and it's possible to demonstrate that that provision was made specifically with the Pigott report in mind. And I'll come to demonstrate that in just a moment, if I may. But just pausing there, at that point in history, we have before the Legislature issues in relation to children's evidence being considered both in relation to criminal proceedings and family proceedings. And it's the backdrop to these submissions that one can see moving on through the last 25 years or so, the enormous thought energy and care has been applied to child witnesses in criminal proceedings. But that we submit has not been mirrored in family proceedings. Well, may I take a moment just to look in a little more detail at the Pigott report, which is in the Authorities Bundle, which is open before the court at tab 43. Again just just coming at this from the historical perspective, the use of video links at live links not recorded evidence the use of live links was brought in for the first time. As I've said by section 32 of the Criminal Justice Act 1988 we produced the implementation order. I don't need to go to it, but it's relevant to note that that came into effect in January of 1989. So from January of 1989 the criminal courts first began to receive evidence from children by way of a live video link, children under 14 at that stage. Before that his own judge, Pigott in June of 1988 was asked to look into the prospect of using recorded evidence and, as we see from the face of the Pigott report immediately behind tab 43 the committee reported in December of 1989. So the relevance of course of that"
00:11:26.830,00:11:28.530,spk_1,"chronology is"
00:11:28.530,00:11:46.270,spk_3,"that the advisory group and the courts had virtually no experience of the impact of live links when they produced this report. The preliminary view of the Pigott reports are to be found at Paragraphs 2.13."
00:11:49.850,00:11:50.490,spk_1,"Well,"
00:11:50.490,00:11:54.740,spk_3,"The section begins with the child's welfare page 15, Paragraph"
00:11:54.740,00:11:55.240,spk_1,"2.10"
00:11:55.320,00:14:12.440,spk_3,"But if I may, I'll just, go at this stage just a view of the preliminary reports of the Pigott committee at Paragraph 2 (13) at page 16. We acknowledge that report respects the possibility of giving evidence by live television link from outside the court in trials of violence and sexual offences, which has been available to the children under the age of 14, by section 32 of the 88 Act has improved matters, direct confrontation with the accused can be avoided, and the pressures of speaking in public about embarrassing matters reduced. Its too early to make a thorough assessment of this innovation, which has been carefully monitored and evaluated, and in my position, one has to bear in mind when one evaluates the balance of the advice of that committee that that was the state of knowledge in relation to what was clearly an innovation within criminal proceedings that had just got underway. My Lords, the part of the Pigott report, which has found expression mostly in the family cases, is that Paragraph 2 (12) on page 15 and that's the part that's quoted in the Paragraph is quoted in full by Lords Justices Warren Wilson in the Court of Appeal decision in this case, the present case before this court. And it's the one from which, if there's any resonance through the Court of Appeal Authorities, as to the impact on children of giving given evidence, it's the source of that sound effect. Paragraph 2.12 were satisfied that the majority of children are adversely affected by giving evidence Trials for serious offences under existing circumstances and laws if I made the expression under existing circumstances is crucial because, in effect, existing circumstances was the naked presentation of children in the witness box before a judge or jury, without any measures to prepare them, protect them or to the system after giving evidence that those were the existing circumstances being considered and then they go on the rest of Paragraph 2 (12) to summarise the expert evidence being received as to the potential stress and adverse effects on children are being presented to a court in that circumstance."
00:14:12.470,00:14:17.540,spk_0,"Do we know? what the source of that evidence was?"
00:14:17.550,00:14:30.690,spk_3,"Yes, the appendix. The appendix which sets out the contributors. It's not an appendix. It's certainly at the back."
00:14:31.520,00:14:32.140,spk_1,""
00:14:32.970,00:14:34.570,spk_4,"74"
00:14:34.570,00:16:46.480,spk_3,"Page 74 of the report. Thank you. Yes the summary there are those who gave evidence that it's within that collection of people. Yeah, but I would respectfully submit that when one examines in a little more detail what was said within the section I'm at in the Pigott report, more was being said than just that. A bold statement that children giving evidence will cause them harm. Can I go on to Paragraph 2 (15) And the background 2 (15) really began with the criminal case of Woolwork, which was the case where the Lord Chief Justice said that children the evidence of a child aged five could not be received, and the concern that was that the evidence of young children wasn't being received either because of legal practise or because parents or guardians were not content to their children to go before a court without any form of protection. So if I can just read six lines or so into Paragraph 2 (15). We also received evidence and police officers and social workers that many hundreds of cases cannot be pursued successfully each year because children seem unlikely to make effective or legally competent witnesses under under present circumstances. As a result, some child victims are left with feelings of anger, resentment, frustration and even guilt, which many experts believe could be to some extent dispelled by legal procedures which enable them to speak fully and freely and when judged against the progression of Court of Appeal cases in family law as to the effect on children giving evidence, that we respect, that suggested the most interesting comments because it shows that under appropriate circumstances, there is the possibility of good effect arising from children being given a voice in proceedings clearly criminal proceedings in this context. But it's a comment which could be more widely applied and at 2 (18) just over the"
00:16:46.480,00:16:47.270,spk_2,"page"
00:16:48.070,00:18:31.760,spk_3,"five lines up the bottom of page, we also think that the quality of evidence that children give on cross examination will improve where this takes place in informal surroundings as soon as can practically be arranged. So that's the early recording of the child's evidence, which was then to be used in chief. But again, looking to the fact that despite the inauspicious position has presented in 88, 89 the appropriate use of technology and care and consideration could give rise to considerable amelioration for children in giving evidence in proceedings. And again, it's slightly to the side of this case. But just a note that a Paragraph 2 (22) at the foot of page 19 the committee recorded that, In terms of criminal proceedings, of course, they say, we agree that cross examination is essential. And again at 2 (24) at the head of the page, making a similar point. We would be seriously concerned about this matter if it were proposed and tied to excuse the child from cross examination. Some of them just standing where we were at that stage. There was clearly expressed concern about children giving evidence, as was the practise at that time in criminal proceedings, but very much of you that that was something which could be ameliorated. Now we produced at a tab in the other Authorities Bundle in the Lord's. We've also just take a profile."
00:18:35.760,00:18:36.100,spk_1,"Well,"
00:18:36.100,00:18:45.810,spk_3,"I hope the court has, in addition to the four Bundles, originally filed a fifth which has been we're beginning to collect some additional materials which came at the end of last"
00:18:45.810,00:18:46.790,spk_1,"week. It"
00:18:46.790,00:18:51.330,spk_3,"was produced by us for this court on Friday with the heading index supplementary material file 5."
00:18:51.330,00:18:52.670,spk_2,"Yes, I think we've got Thank"
00:18:52.670,00:19:09.440,spk_3,"you. The second tab there is a short extract from Hansard which we don't produce as an aid to construction. Just as part of the historical development. The it might have gone in another tab. One tab to"
00:19:09.450,00:19:11.540,spk_1,"we've gotta transfer tab."
00:19:11.660,00:19:25.050,spk_3,"Thank you, head with the bold heading evidence given by all with respect to children and immediately underneath that one sees it from the House of Commons debates on the 24th October 1989. Just turning to the second page of"
00:19:25.060,00:19:26.510,spk_4,"that 10.30pm"
00:19:26.510,00:19:28.690,spk_3,"I just..."
00:19:29.300,00:19:29.740,spk_1,"Sign of the"
00:19:29.740,00:19:51.170,spk_3,"times. The Solicitor General introducing a a new provision the 3rd, 1st, 3rd full Paragraph in the middle of the page. However, the effect of the recent Court of Appeal decisions in Re H and Re K and the effect is summarised, that a direct response to that case, which have taken place earlier that"
00:19:51.180,00:19:52.270,spk_4,"year,"
00:19:52.550,00:20:42.020,spk_3,"and then the proposal to remedy the situation. The following Paragraph with the 96 (3) and in the following Paragraph. The last few lines deal with Subsections 5 and 6 will provide the necessary flexibility. The Lord Chancellor's Power will thus be expert sizeable to provide for the admissibility of statements made orally in writing any form prescribed by the order or by any means of any form of recording, for example, audio or videotape. And so that throws the consideration little wider than is apparent from the section, which simply talks about any form of recording and demonstrates that video recording was plainly in consideration. And then just on the opposite page. When Mr Simms responds to attorney general, in the second Paragraph of his response, he asks the question, What progress is the Pigott committee making?"
00:20:42.880,00:20:42.940,spk_1,"The"
00:20:42.950,00:21:41.960,spk_3,"relevance of that being that it directly ties the development of criminal and family procedures together has been considered by the Legislature at the same time. So, what was happening within Pigott was very much before the Legislature, when dealing with Section 96 I would suggest that it's legitimate, supposed that, given the chronology, which is that this all happened very late in the progress of the Children Bill. We're now in October 1989 received royal assent in November 1989 the the legislative work considering globally as it were, the question of how children's evidence might be presented within proceedings, whether criminal, family. And it's legitimate, I suggest to suppose that they were, as it were, putting over the question of more detailed provisions for children until period reported, but foreshadowing it by way of Section 96 5."
00:21:46.790,00:21:47.250,spk_4,"There's"
00:21:47.250,00:22:15.480,spk_0,"an alternative point of view, of course, which is that until Re H, Re K. Nobody thought it was a problem in civil proceedings, and it was only then that it became clear that it was a problem, and so it was necessary to put something into the Children Bill to cater for that. And although Pigott was going on, it was going on in another part of the forest to do with criminal proceedings. Where there's always been known to be a"
00:22:15.480,00:22:59.660,spk_3,"problem, we'll see. Perhaps what I suggest is that what we see from Re H, K. It's certainly right that it had been going on before receiving hearsay evidence, but a bit, if I may put it this way, a bit of a mishmash. It wasn't quite clear whether it was by consent from the individual parties or by lawful authority. So it certainly needed clarification. And I would venture to suggest that it goes a little further because we, the Section 95 (6) goes at the 65 goes a little further because we can see that it was specifically directed towards in the statute recording, look at the Solicitor General video recording, and by the response to pick up being there so accepted a degree speculative. But if one is trying to unscramble"
00:23:00.160,00:23:01.820,spk_0,"which angle ones coming from."
00:23:01.820,00:23:02.960,spk_3,"You're"
00:23:02.960,00:23:28.850,spk_0,"coming from a situation in which, for whatever reason, it had been taken for granted that was admissible in family proceedings and then there was a decision of the Court of Appeal holding that it wasn't and so one had to do something to make sure that it was, on the other hand, got the very clear situation that it was not admissible. Even live link was"
00:23:28.860,00:23:30.490,spk_4,"a"
00:23:30.500,00:23:42.650,spk_0,"suspect and certainly recordings were not admissible in criminal proceedings. And so the two coming from opposite ends of the spectrum, that's all. Pigott was, of course, important in both respect."
00:23:43.490,00:24:27.310,spk_3,"Accepting that proposition, even if that's how things stood in 88, 89, one still then, of course, goes on to look at what had or hadn't happened within each jurisdiction thereafter. And the point remains that whatever might have been intended the detail of the receipt of children's evidences we would submit rather left languishing. The order, which was passed as we put in the written submission, was a bare order. It gave the permission, but no further standards guidance at all. And so it's the Court of Appeal that has developed the test that is to be applied, that order having been passed. Where"
00:24:27.310,00:24:28.340,spk_0,"do we find the order?"
00:24:28.510,00:24:35.490,spk_3,"The order is in the second Authorities Bundle 4."
00:24:38.800,00:24:39.390,spk_1,"At"
00:24:43.110,00:24:50.720,spk_3,"tab 28. I'm taking that's that's the 93 order in the preceding ones in the preceding tabs."
00:24:51.520,00:24:51.930,spk_4,"Thank"
00:24:51.930,00:24:52.380,spk_1,"you."
00:24:57.500,00:25:01.210,spk_0,"Do we have the relevant section of the Cleveland"
00:25:01.210,00:25:01.750,spk_1,"Report?"
00:25:02.660,00:25:09.110,spk_0,"Because, you see, that was what was going on at the same time, as far as care proceedings were"
00:25:09.110,00:25:09.740,spk_3,"concerned"
00:25:10.500,00:25:52.340,spk_0,"Pigott was going on as far as criminal proceedings were concerned. But as far as care proceedings were concerned, the question of how you proved cases in care proceedings was given a huge amount of investigation in the Cleveland report. That was the other part of the background, which is, you know, your suggestion that the order was leaving things up in the air. Further legislative work to be done, has to be seen against the background of all the other work that was being done and had been done in the. in the Cleveland Report, which talks about evidence that considerable length sold chapter on it."
00:25:52.880,00:27:06.890,spk_3,"My lady. I accept that context, of course. And I can only apologise that we haven't put those Paragraphs of Cleveland before before the court and I do accept there, of course, an important part of the historical development, but the it's not that I seek to, as it were make too much of legislative activity or not after the original order was made, but it it is the position remains that it is, as I express it, just a bare order, giving an empowering provision with no more said about how the court is to consider the receipt of children's Evidence. And rising from that has been the need for the Court of Appeal to develop the test. Some of those turning if I made to the test as it is now, it doesn't seem to me there's any great degree of dispute between these parties before this court as to what the standard the test is at the moment. And perhaps I can just go to Ms Branigan's Statement of Case before this court to see how she puts it, because I don't think there's any great difference between"
00:27:06.890,00:27:08.660,spk_1,"us. It's"
00:27:08.660,00:27:10.480,spk_3,"File 1 tab 6."
00:27:14.310,00:27:14.510,spk_0,"Yeah,"
00:27:18.200,00:27:24.150,spk_3,"the towards the end of Paragraph 47 page 18."
00:27:24.360,00:27:24.630,spk_4,"Sorry which"
00:27:24.630,00:27:42.590,spk_3,"Paragraph? 12 (1) tab 6 page 18, Paragraph 47. My Lord,"
00:27:42.600,00:27:45.650,spk_0,"You think this is an accurate summary of the current state of the law?"
00:27:45.970,00:27:48.370,spk_3,"It pretty much mirrors what we've said in our"
00:27:48.370,00:27:49.770,spk_0,"document. If"
00:27:49.770,00:28:09.520,spk_3,"I'm able to grieve this, Miss Branigan better than taking you to mind, falling falling lines of principle can be derived from the four principal Authorities. Managing the child's judicial discretion, the starting point is its undesirable. The child to give evidence particular justification will be required, although there are some cases where it's right. I'm"
00:28:09.520,00:28:09.890,spk_2,"sorry."
00:28:10.590,00:29:05.860,spk_3,"I'm so sorry. Paragraph 47, page 18 of Miss Branigan. Thank you. The first three bullet points judicial discretion starting point and particular justification over the page. Although there will be some cases where right child give or 11th, such cases will be rare. The attendance of a reluctant child should not be required by virtue of a witness summons if it will be oppressive social order. We would add the rider, perhaps, that the attendance of any child should not be required if it's oppressive and the welfare of the child is irrelevant but not paramount consideration. And because one is trying to pick up what the test is from a number of authorities, one could express it slightly differently. But we accept that encapsulates the key elements of the test as they had been as it has been developed by the Court of Appeal."
00:29:05.890,00:29:09.760,spk_4,"Are they Absolute? I mean,"
00:29:10.530,00:29:11.350,spk_3,"is"
00:29:11.360,00:29:43.630,spk_4,"the penultimate one, an absolute. What happens if that's an absolute what the proceedings can't go ahead or they go ahead automatically on the basis of Hearsay evidence. However much hearsay would otherwise, for special reasons, be desirable, cross-examination with special reasons are desirable?"
00:29:44.960,00:30:14.210,spk_3,"I don't know that I could suggest that it is absolute. But if one traces the word oppressive through these Authorities, it is a very strong consideration described by Lord Justice Wilson as the yardstick of oppression. So you described as the yardstick by which the case will be decided. And if if the child judge's conclusion is that it would be oppressive, then the child will not be called to give evidence. And the case will proceed by way of hearsay without cross examination."
00:30:15.030,00:30:47.720,spk_4,"Yes, but in deciding whether it's oppressive, you simply look at the effect on the child. I ask that because the third factor suggests that can be a particular justification for requiring the child to give all evidence, and so does the last one. The welfare of the child is irrelevant but not paramount consideration. In other words, if ultimately there's a discretionary exercise, it must involve some balance between these factors."
00:30:49.160,00:30:49.570,spk_1,"Yeah,"
00:30:50.950,00:31:10.110,spk_3,"it certainly is expressed as requiring a balance, and it may be most sensible if if I take the call to the key passages of the key Authorities, which set this out because all this is trying to digest points which are made in different ways in different cases, and so one only really gets the full sense of it by looking at those particular passages."
00:31:11.070,00:31:38.290,spk_4,"I think the gist of your case is that the balance is really struck and by the second and the fourth factors mainly in principle, is undesirable, and in principle it's very it's rare and that's so to speak. The balance is tilted heavily in that direction from the outset."
00:31:38.300,00:32:58.320,spk_3,"Yes, we would say that if you if you have a test which says that the outcome will be rare and then the very test itself is predicting the degree, the outcome and cannot therefore be a fair test, it should be. It should be neutral. The test itself should be neutral as to outcome. So it is wrong in principle to have a test which express rarity as part of the very formulation. And we made criticism of the second bullet point. There's a starting point that is well, it was characterised by Lord Justice Reimer in the Court of Appeals in this case as a presumption, and we certainly submit it has that flavour and that character that that is a starting point. If it's a starting point, it's a presumption. And if there were any doubt about that, when we move on to a particular justification, we submit that one can probably ask. Well, who is to do the justifying? And the answer must be. It's for the respondent father to show a particular justification is why, despite the starting point, despite the expression of rarity, the child should have to give evidence, oral evidence. And so that, again is an indication that there's a presumption which has got to be rebutted by the father. Why"
00:32:58.320,00:33:16.430,spk_4,"shouldn't there be a presumption? I mean, as long as it's capable of being rebutted, and as long as the factors which lead to it being rebutted are clearly identified, I'm not sure they are expressly identified in these six bullet points."
00:33:19.210,00:34:29.850,spk_3,"We know two complaints about that. Firstly, that even if this court would conclude that the test itself is not flawed it's, by putting Principal, it doesn't have sufficient articulation of the particular counterbalancing counterbalancing factors to be born in mind. And so that is a serious default of itself. And the what is entirely absent from the Authorities is any specific expression of needing to weigh the competing convention rights of article and the child herself will have Article 6 and Article 8 rights. Similarly, the parents and on the facts of this case and in many, many other cases, the Article 6 and 8 rights of siblings. And I was going to move a little later, so a bit more about siblings. But those are all key competing considerations, and at the very least, they need direct expression with any appropriately formulated test."
00:34:30.700,00:34:42.050,spk_0,"Is there something else? A. As I understand you, Mr Geekie, you're saying, you you object to a starting point if it's elevated to a presumption at least,"
00:34:42.060,00:34:43.200,spk_4,""
00:34:43.210,00:34:59.510,spk_0,"and you object to what may or may not be a result being stated as a principle, i.e rarity could be a result of the application of the right factors, although you wouldn't necessarily accept that. But it's a result. Not"
00:34:59.510,00:35:00.740,spk_3,"a"
00:35:00.750,00:35:02.780,spk_0,"not a principal."
00:35:03.350,00:35:04.250,spk_3,"Empirically, it may turn out."
00:35:04.260,00:35:17.440,spk_0,"Yes, exactly. And your further criticism is that what this doesn't do is set out what the relevant factors are being weighed in the balance. So you've got 3 criticisms. Yes,"
00:35:19.050,00:35:20.570,spk_3,"but then going to go into the..."
00:35:20.580,00:37:15.830,spk_0,"Sorry, Sorry. I've got another question. Before you get into the factors, you you point to the Article 6 and Article 8 rights,  of all the people involved in the proceedings, the complaining child, the other children, the mother, the father and so on. Is there also sitting in there a public interest in the sense of or a general interest in the sense of not only these children, not only these families, but other children? Because if one has a state of the law, which makes it very difficult for children to complain about what they have suffered generally Well, then that would have implications not only for these children in this family, but for children generally. Were it to be the case, for example, that the expectation was that any child who complained that a parent or somebody close to them had abused them in some way, could be summoned to give evidence, and therefore they had to be warned almost straight away. Well, if you're going to tell me this, I shall have to take it further. And you might be called to give evidence if one had that situation. Well, Then one could easily speculate that it would be a serious deterrent for children making complaints along with all the other deterrents that there are, that that would be relevant to the balance in any particular case, is there a general interest as well as particular ones? It's taken me a long time to ask you that question, but that's what I'm trying"
00:37:15.840,00:39:35.260,spk_3,"I believe we have a firm answer to that, so I hope it's a satisfactory one. The position your ladyship postulates, applies already in relation to a child and criminal proceedings that that if the child is asking all the investigator feels obliged to explain, then the child would have to be told you'll probably have to give oral evidence at a criminal trial. If this gives rise to an allegation of crime, you're likely to have to give evidence. And indeed, the very ABE interview in this case starts off as early on in it, a discussion with a child about the fact that you may have to give evidence in a court. So insofar as there is that concern as to the impact upon children, generally, it's within the system, and it's difficult to see why an investigator or social worker would be able to put on the child's behalf, filter out what you might have to do with in criminal proceedings of what you might have to do with in family proceedings. But secondly, perhaps more importantly, we resist very firmly any suggestion that the anyway behind our underlying disappear. All these submissions is a suggestion that children should have to give evidence in criminal proceedings more often. And the local authority directly say in their case, Statement of Case, that if this appeal is correct, then it will lead to a presumption that a child should have to give evidence. And we with great respect say absolutely not. All we are saying, is that when considering this issue, all competing interests should be evaluated from a level starting point because the competing interests are separately so important that it's wrong to rank them prior to consideration. And it's not convention compliant, We will say anyway will develop in a moment, and so you start from a level basis, and that does not lead to conclusion that there'll be a presumption that a child should give evidence what a court will do, what the individual judge will do in the individual"
00:39:35.260,00:39:36.390,spk_0,"case"
00:39:36.400,00:39:52.810,spk_3,"is look at the circumstances of that child in the context of that case, and I don't want to be tedious about it. But we do stress the importance of looking at the child in the case because that's certainly what didn't happen in this case."
00:39:53.870,00:40:28.550,spk_1,"Have we got the (?) case? Somebody mentions it, But I rather think the point my lady raised it comes in there. And I think it is a consideration in the case what the overall impact on the cooperative on, whether the children will be cooperative and the extent to which they are liable to have to give evidence. In that case, it was a special measures case in a criminal content, but I think we did. We did recognise that there were these wider there is this wider, more general interest in children. Generally, I think we actually said, I have"
00:40:28.580,00:40:43.040,spk_3,"got cases here I can't readily brings to mind the passage your Lordship was talking about, But we'll try and identify that I'll deal with the course. I simply can't recall that passage to mind. My Lord, I don't"
00:40:44.550,00:40:44.730,spk_0,"I"
00:40:44.730,00:41:06.040,spk_3,"don't think I'm resisting the notion that any decision made could have wider implications or that that would be that needs to be taken into account. I don't think I'm seeking to resist that proposal. But as I understand it, what I'm being asked addressed is that we're the message that might come out from any decision made..."
00:41:07.220,00:41:29.000,spk_0,"I was trying to put to you. Not as well as My Lord has put it the point that there are general considerations in play here as well as individual ones, not, not just the considerations. In the individual case, the public interest may go wider than that. That's the only point that"
00:41:29.110,00:41:35.120,spk_3,"I think I could possibly resist that proposal that one has to look at..."
00:41:35.540,00:41:38.930,spk_1,"So the party already sold, in part because there are going to be criminal proceedings."
00:41:39.960,00:41:41.250,spk_3,"In this, in"
00:41:41.250,00:41:41.810,spk_1,"this case? Yup."
00:41:42.320,00:41:57.330,spk_3,"My Lord, certainly in this case. But if one just stands back and posits a a future complaint, we're really in this regard. We're probably talking about the older child. Six year old may not be thinking where"
00:41:57.330,00:42:35.180,spk_0,"you see this is Well, whatever happens in this case is going to send messages much, much wider than an intelligent, articulate 14 year old, and that was part of the point that I was putting to you. A lot of these cases involved very much younger children, very different circumstances in which usually the prospect of the prosecution isn't there, but the need to protect not only that child but other children in the"
00:42:35.180,00:42:35.780,spk_1,"family"
00:42:36.300,00:42:37.310,spk_0,"is very strong."
00:42:38.290,00:43:08.730,spk_3,"Well, it's one posits the future case. I accept the proposition that younger children, and even if they're older, chronologically with learning disabilities, Acceptor all that has to be encompassed. But and the child has something to say And the proposed fear with which I am grappling is that a responsible investigator, whether the police or social worker responsible, has to say something to the child which might inhibit something being"
00:43:08.730,00:43:09.920,spk_1,"said when"
00:43:09.920,00:43:28.780,spk_3,"one is at that stage, whether or not the criminal proceedings must be an unknown in my submission until you've got the account, you can't know whether there can be criminal proceedings in light of the Crown and Barker. What age limits there might be on children being witnesses, with respect, for some, it is a very open question. So one doesn't..."
00:43:28.790,00:43:40.830,spk_0,"But that's changed since the, whichever Act it was that completely changed the admissibility requirements for children's evidence in criminal cases."
00:43:40.840,00:43:41.740,spk_3,"Yes, well,"
00:43:41.740,00:43:43.450,spk_0,"anybody's evidence in criminal cases,"
00:43:44.040,00:44:35.430,spk_3,"But I don't have to two shots on it. As an aside, in the light of that case, the prospect of younger children in criminal proceedings would seem to be more open than it might have been before the Crown and Barker. Is anything going to the positive future investigation, the challenge, which I'm seeking to meet is the question. It is the position which I'm advancing before this court to create a situation where a responsible investigator might say something which inhibits the flow of information. If it were to, of course, that would be a male effect. But I submit that when when the investigator, social worker, police or whatever is first with the child, one can't know whether or not it's going to lead to criminal proceedings. And"
00:44:35.430,00:44:36.810,spk_0,"therefore,"
00:44:36.820,00:46:32.160,spk_3,"the possibility of having to give evidence in the future is there, come what may. And I would suggest that what we're proposing in this appeal need not and should not lead to a situation where an investigator needs say anything different or more threatening to the child about the possibility of having to give evidence. All that being said here is that when coming to make a decision, a family judge, we'll have to look at all relevant considerations. And I do reiterate it's no part of these submissions to say that the welfare of the child will not form a very important part of that consideration. So there will be every opportunity for welfare decisions to be taken into account. And it may turn out looking back two or three years hence that empirically, the outcome is that it's still a rarity for children to give evidence. If individual judges make decisions such that they consider that the balance is struck in favour of Hearsay evidence, then then in sense, in terms of how we present this appeal, so be it. We're not. We're not driving at outcomes. My submission related to this individual cases like this. That's another point we're not. It's not driving as an outcome whereby more children have to give evidence. So I respectfully suggest, except my lady's suggestion, the court must have a wider look. But I would submit that the outcome in terms of how matters are presented in due course need be no different for children than they are presently given The arrangements within criminal proceedings."
